BookingID,CustomerID,CarID,StartDate,EndDate,PickUpLocation,DropOffLocation
1,15,48,2024-01-29,2024-04-15,3,3
2,28,26,2024-01-04,2024-05-05,9,7
3,4,11,2024-05-08,2024-03-19,10,9
4,70,50,2024-03-03,2024-01-13,4,6
5,47,17,2024-04-06,2024-04-14,4,9
6,50,27,2024-02-24,2024-03-17,5,3
7,2,43,2024-03-30,2024-05-12,1,6
8,19,40,2024-01-12,2024-03-21,3,9
9,49,1,2024-05-04,2024-01-06,2,9
10,86,24,2024-05-29,2024-01-31,10,10
11,54,13,2024-04-05,2024-04-11,8,1
12,67,28,2024-04-13,2024-01-14,8,7
13,14,44,2024-03-25,2024-04-04,6,10
14,62,16,2024-04-23,2024-03-11,6,5
15,38,50,2024-03-30,2024-03-10,6,4
16,4,45,2024-03-04,2024-03-26,6,10
17,76,21,2024-02-28,2024-02-26,8,5
18,66,27,2024-05-14,2024-01-03,2,2
19,27,32,2024-02-20,2024-05-08,1,1
20,68,34,2024-01-01,2024-05-30,2,8
21,1,28,2024-05-07,2024-04-04,6,1
22,35,38,2024-03-24,2024-02-19,8,2
23,10,35,2024-02-18,2024-05-23,2,8
24,45,50,2024-05-21,2024-04-06,5,6
25,27,9,2024-03-07,2024-01-21,7,10
26,47,2,2024-01-09,2024-05-14,6,7
27,43,4,2024-04-10,2024-05-20,10,1
28,1,22,2024-05-13,2024-03-22,5,3
29,32,10,2024-04-02,2024-03-26,8,10
30,9,31,2024-05-31,2024-03-10,5,7
31,8,7,2024-04-11,2024-01-04,8,5
32,58,47,2024-02-18,2024-03-18,3,8
33,33,16,2024-03-24,2024-01-22,5,3
34,77,19,2024-02-27,2024-02-10,8,2
35,97,44,2024-03-28,2024-02-15,2,3
36,97,35,2024-05-21,2024-01-18,3,3
37,85,3,2024-01-03,2024-01-12,5,1
38,32,30,2024-02-21,2024-01-15,10,4
39,84,10,2024-01-22,2024-03-12,10,7
40,12,8,2024-05-27,2024-04-06,6,2
41,86,21,2024-05-06,2024-01-05,8,8
42,97,22,2024-04-17,2024-05-23,6,6
43,94,10,2024-04-14,2024-01-11,7,8
44,20,28,2024-05-03,2024-01-23,1,10
45,2,41,2024-04-28,2024-05-04,3,2
46,21,22,2024-02-22,2024-01-07,6,4
47,86,39,2024-03-24,2024-02-19,2,1
48,13,18,2024-05-08,2024-01-08,8,8
49,75,5,2024-03-31,2024-02-28,9,3
50,51,19,2024-04-07,2024-03-14,8,8
51,65,35,2024-02-22,2024-03-02,2,2
52,33,9,2024-02-16,2024-01-09,9,7
53,16,12,2024-03-17,2024-03-10,9,2
54,36,34,2024-04-20,2024-04-29,4,10
55,87,20,2024-05-15,2024-01-11,7,4
56,56,29,2024-01-29,2024-03-08,9,2
57,29,31,2024-05-26,2024-03-04,6,8
58,83,8,2024-01-07,2024-01-29,8,8
59,70,36,2024-05-25,2024-04-08,1,4
60,38,45,2024-05-24,2024-03-26,1,9
61,81,42,2024-05-09,2024-05-07,2,7
62,33,36,2024-05-05,2024-01-27,5,3
63,98,26,2024-04-22,2024-02-06,4,6
64,36,43,2024-03-15,2024-03-17,10,9
65,13,18,2024-03-27,2024-02-12,1,8
66,98,35,2024-01-11,2024-03-22,1,4
67,52,10,2024-01-31,2024-01-09,4,10
68,37,12,2024-01-13,2024-02-20,5,10
69,14,6,2024-01-18,2024-05-29,8,3
70,75,36,2024-02-18,2024-03-31,3,10
71,81,44,2024-01-14,2024-04-05,1,7
72,96,45,2024-02-12,2024-02-17,9,5
73,29,45,2024-01-28,2024-02-23,1,10
74,38,34,2024-03-24,2024-03-13,8,1
75,9,49,2024-01-31,2024-04-22,7,1
76,91,31,2024-04-28,2024-01-25,1,5
77,67,24,2024-04-05,2024-02-04,8,3
78,25,26,2024-04-19,2024-03-12,7,9
79,12,12,2024-02-22,2024-04-15,6,3
80,77,46,2024-03-21,2024-03-09,7,7
81,50,23,2024-04-10,2024-01-10,5,7
82,36,27,2024-05-03,2024-04-05,8,1
83,58,13,2024-05-27,2024-05-09,7,4
84,72,49,2024-03-27,2024-02-18,3,2
85,7,26,2024-05-29,2024-03-18,6,2
86,5,23,2024-05-27,2024-02-29,8,1
87,56,16,2024-05-26,2024-01-02,4,4
